מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
Totals,,,,,,684,"17,059","7,886",8.3
111328-כרמי יהודה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אביתר חיים קלין,4,83,68,11.7
111393-נועם בנות ק.משה,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,אורית ווייל,3,80,79,16.1
"111450-גוונים מ""מ",קרית ארבע,ירושלים,יהודי,דורית מרגלית רזיאל אלישר,ענבל גונן,1,11,11,3.7
112151-מצפה יריחו,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,יוסף יהושע יחזק פלהימר,1,21,2,4
112250-עשה חייל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,תרזה שפרה פרנקל,3,61,46,15.7
112516-מבוא חורון,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,ערן מרגלית,1,22,10,4
"112953-אהבת ישראל (חרד""ל)",ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,גיא רפאלוב,2,45,0,0
113217-הר נוף ממד בנות,ירושלים,העיר ירושלים,יהודי,יואל דוב ורצברגר,ברוריה בס,2,60,46,1.7
113324-בית-אל בנים,בית אל,ירושלים,יהודי,יוסף יעקב שינובר,ירון גיאת,3,73,10,1.8
113787-כוכב יעקב בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,דן אפרים בירנבאום,2,23,11,1.5
114058-אריאל,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,שולמית גיטל פרוינד,1,29,27,3.7
114173-אורות עציון בנים,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,משה גוטליב,4,96,1,1
114249-אורות עציון בנות,אפרת,ירושלים,יהודי,יעקב מאיר קושלבסקי,דבורה פרידמן,3,63,60,20.1
117002-אל-מוטראן,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,ריצ'רד זנאנירי,2,60,0,0
"117010-ביה""ס אל-פריר",ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,דאוד כסאברי,1,34,0,0
118042-אום טובא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,וליד אבו טיר,4,99,39,1.2
